latin_name,n_original,n_cleaned,sample_cleaned,sample_removed
Psilocybe pelliculosa,116,116,a photo of Psilocybe pelliculosa;a photograph of Psilocybe pelliculosa;an image of Psilocybe pelliculosa;a picture of Psilocybe pelliculosa;Psilocybe pelliculosa mushroom,
Gyromitra esculenta,100,94,a photo of Gyromitra esculenta;a photograph of Gyromitra esculenta;an image of Gyromitra esculenta;a picture of Gyromitra esculenta;Gyromitra esculenta mushroom,a photo of 6 in;a photograph of 6 in;6 in mushroom;6 in fungus;photo of 6 in mushroom
Trametes versicolor,164,164,a photo of Trametes versicolor;a photograph of Trametes versicolor;an image of Trametes versicolor;a picture of Trametes versicolor;Trametes versicolor mushroom,
Leratiomyces ceres,118,118,a photo of Leratiomyces ceres;a photograph of Leratiomyces ceres;an image of Leratiomyces ceres;a picture of Leratiomyces ceres;Leratiomyces ceres mushroom,
Amanita pantherina,136,136,a photo of Amanita pantherina;a photograph of Amanita pantherina;an image of Amanita pantherina;a picture of Amanita pantherina;Amanita pantherina mushroom,
Trametes gibbosa,117,117,a photo of Trametes gibbosa;a photograph of Trametes gibbosa;an image of Trametes gibbosa;a picture of Trametes gibbosa;Trametes gibbosa mushroom,
Daedaleopsis confragosa,115,115,a photo of Daedaleopsis confragosa;a photograph of Daedaleopsis confragosa;an image of Daedaleopsis confragosa;a picture of Daedaleopsis confragosa;Daedaleopsis confragosa mushroom,
Phellinus igniarius,112,112,a photo of Phellinus igniarius;a photograph of Phellinus igniarius;an image of Phellinus igniarius;a picture of Phellinus igniarius;Phellinus igniarius mushroom,
Ganoderma applanatum,126,126,a photo of Ganoderma applanatum;a photograph of Ganoderma applanatum;an image of Ganoderma applanatum;a picture of Ganoderma applanatum;Ganoderma applanatum mushroom,
Hypomyces lactifluorum,99,99,a photo of Hypomyces lactifluorum;a photograph of Hypomyces lactifluorum;an image of Hypomyces lactifluorum;a picture of Hypomyces lactifluorum;Hypomyces lactifluorum mushroom,
Panellus stipticus,103,103,a photo of Panellus stipticus;a photograph of Panellus stipticus;an image of Panellus stipticus;a picture of Panellus stipticus;Panellus stipticus mushroom,
Amanita calyptroderma,111,111,a photo of Amanita calyptroderma;a photograph of Amanita calyptroderma;an image of Amanita calyptroderma;a picture of Amanita calyptroderma;Amanita calyptroderma mushroom,
Tapinella atrotomentosa,135,135,a photo of Tapinella atrotomentosa;a photograph of Tapinella atrotomentosa;an image of Tapinella atrotomentosa;a picture of Tapinella atrotomentosa;Tapinella atrotomentosa mushroom,
Lactarius turpis,101,101,a photo of Lactarius turpis;a photograph of Lactarius turpis;an image of Lactarius turpis;a picture of Lactarius turpis;Lactarius turpis mushroom,
Fomes fomentarius,94,94,a photo of Fomes fomentarius;a photograph of Fomes fomentarius;an image of Fomes fomentarius;a picture of Fomes fomentarius;Fomes fomentarius mushroom,
Sarcoscypha austriaca,97,97,a photo of Sarcoscypha austriaca;a photograph of Sarcoscypha austriaca;an image of Sarcoscypha austriaca;a picture of Sarcoscypha austriaca;Sarcoscypha austriaca mushroom,
Gloeophyllum sepiarium,91,91,a photo of Gloeophyllum sepiarium;a photograph of Gloeophyllum sepiarium;an image of Gloeophyllum sepiarium;a picture of Gloeophyllum sepiarium;Gloeophyllum sepiarium mushroom,
Hypogymnia physodes,96,96,a photo of Hypogymnia physodes;a photograph of Hypogymnia physodes;an image of Hypogymnia physodes;a picture of Hypogymnia physodes;Hypogymnia physodes mushroom,
Stropharia aeruginosa,97,97,a photo of Stropharia aeruginosa;a photograph of Stropharia aeruginosa;an image of Stropharia aeruginosa;a picture of Stropharia aeruginosa;Stropharia aeruginosa mushroom,
Nectria cinnabarina,112,112,a photo of Nectria cinnabarina;a photograph of Nectria cinnabarina;an image of Nectria cinnabarina;a picture of Nectria cinnabarina;Nectria cinnabarina mushroom,
Pseudevernia furfuracea,102,102,a photo of Pseudevernia furfuracea;a photograph of Pseudevernia furfuracea;an image of Pseudevernia furfuracea;a picture of Pseudevernia furfuracea;Pseudevernia furfuracea mushroom,
Lactarius torminosus,125,125,a photo of Lactarius torminosus;a photograph of Lactarius torminosus;an image of Lactarius torminosus;a picture of Lactarius torminosus;Lactarius torminosus mushroom,
Fomitopsis betulina,116,116,a photo of Fomitopsis betulina;a photograph of Fomitopsis betulina;an image of Fomitopsis betulina;a picture of Fomitopsis betulina;Fomitopsis betulina mushroom,
Gyromitra infula,120,120,a photo of Gyromitra infula;a photograph of Gyromitra infula;an image of Gyromitra infula;a picture of Gyromitra infula;Gyromitra infula mushroom,
Amanita augusta,127,127,a photo of Amanita augusta;a photograph of Amanita augusta;an image of Amanita augusta;a picture of Amanita augusta;Amanita augusta mushroom,
Chlorophyllum brunneum,97,97,a photo of Chlorophyllum brunneum;a photograph of Chlorophyllum brunneum;an image of Chlorophyllum brunneum;a picture of Chlorophyllum brunneum;Chlorophyllum brunneum mushroom,
Flammulina velutipes,136,136,a photo of Flammulina velutipes;a photograph of Flammulina velutipes;an image of Flammulina velutipes;a picture of Flammulina velutipes;Flammulina velutipes mushroom,
Entoloma abortivum,113,113,a photo of Entoloma abortivum;a photograph of Entoloma abortivum;an image of Entoloma abortivum;a picture of Entoloma abortivum;Entoloma abortivum mushroom,
Bolbitius titubans,110,110,a photo of Bolbitius titubans;a photograph of Bolbitius titubans;an image of Bolbitius titubans;a picture of Bolbitius titubans;Bolbitius titubans mushroom,
Graphis scripta,85,85,a photo of Graphis scripta;a photograph of Graphis scripta;an image of Graphis scripta;a picture of Graphis scripta;Graphis scripta mushroom,
Crucibulum laeve,107,107,a photo of Crucibulum laeve;a photograph of Crucibulum laeve;an image of Crucibulum laeve;a picture of Crucibulum laeve;Crucibulum laeve mushroom,
Trichaptum biforme,109,109,a photo of Trichaptum biforme;a photograph of Trichaptum biforme;an image of Trichaptum biforme;a picture of Trichaptum biforme;Trichaptum biforme mushroom,
Phlebia tremellosa,103,103,a photo of Phlebia tremellosa;a photograph of Phlebia tremellosa;an image of Phlebia tremellosa;a picture of Phlebia tremellosa;Phlebia tremellosa mushroom,
Cryptoporus volvatus,117,117,a photo of Cryptoporus volvatus;a photograph of Cryptoporus volvatus;an image of Cryptoporus volvatus;a picture of Cryptoporus volvatus;Cryptoporus volvatus mushroom,
Cladonia fimbriata,88,88,a photo of Cladonia fimbriata;a photograph of Cladonia fimbriata;an image of Cladonia fimbriata;a picture of Cladonia fimbriata;Cladonia fimbriata mushroom,
Suillus americanus,109,109,a photo of Suillus americanus;a photograph of Suillus americanus;an image of Suillus americanus;a picture of Suillus americanus;Suillus americanus mushroom,
Clitocybe nuda,96,96,a photo of Clitocybe nuda;a photograph of Clitocybe nuda;an image of Clitocybe nuda;a picture of Clitocybe nuda;Clitocybe nuda mushroom,
Leccinum scabrum,120,120,a photo of Leccinum scabrum;a photograph of Leccinum scabrum;an image of Leccinum scabrum;a picture of Leccinum scabrum;Leccinum scabrum mushroom,
Amanita flavoconia,106,106,a photo of Amanita flavoconia;a photograph of Amanita flavoconia;an image of Amanita flavoconia;a picture of Amanita flavoconia;Amanita flavoconia mushroom,
Amanita brunnescens,113,113,a photo of Amanita brunnescens;a photograph of Amanita brunnescens;an image of Amanita brunnescens;a picture of Amanita brunnescens;Amanita brunnescens mushroom,
Calycina citrina,108,108,a photo of Calycina citrina;a photograph of Calycina citrina;an image of Calycina citrina;a picture of Calycina citrina;Calycina citrina mushroom,
Pleurotus ostreatus,124,124,a photo of Pleurotus ostreatus;a photograph of Pleurotus ostreatus;an image of Pleurotus ostreatus;a picture of Pleurotus ostreatus;Pleurotus ostreatus mushroom,
Evernia mesomorpha,93,93,a photo of Evernia mesomorpha;a photograph of Evernia mesomorpha;an image of Evernia mesomorpha;a picture of Evernia mesomorpha;Evernia mesomorpha mushroom,
Boletus reticulatus,166,166,a photo of Boletus reticulatus;a photograph of Boletus reticulatus;an image of Boletus reticulatus;a picture of Boletus reticulatus;Boletus reticulatus mushroom,
Hericium erinaceus,109,109,a photo of Hericium erinaceus;a photograph of Hericium erinaceus;an image of Hericium erinaceus;a picture of Hericium erinaceus;Hericium erinaceus mushroom,
Inonotus obliquus,87,87,a photo of Inonotus obliquus;a photograph of Inonotus obliquus;an image of Inonotus obliquus;a picture of Inonotus obliquus;Inonotus obliquus mushroom,
Pseudohydnum gelatinosum,111,111,a photo of Pseudohydnum gelatinosum;a photograph of Pseudohydnum gelatinosum;an image of Pseudohydnum gelatinosum;a picture of Pseudohydnum gelatinosum;Pseudohydnum gelatinosum mushroom,
Chondrostereum purpureum,91,91,a photo of Chondrostereum purpureum;a photograph of Chondrostereum purpureum;an image of Chondrostereum purpureum;a picture of Chondrostereum purpureum;Chondrostereum purpureum mushroom,
Apioperdon pyriforme,103,103,a photo of Apioperdon pyriforme;a photograph of Apioperdon pyriforme;an image of Apioperdon pyriforme;a picture of Apioperdon pyriforme;Apioperdon pyriforme mushroom,
Macrolepiota procera,100,100,a photo of Macrolepiota procera;a photograph of Macrolepiota procera;an image of Macrolepiota procera;a picture of Macrolepiota procera;Macrolepiota procera mushroom,
Ganoderma tsugae,167,167,a photo of Ganoderma tsugae;a photograph of Ganoderma tsugae;an image of Ganoderma tsugae;a picture of Ganoderma tsugae;Ganoderma tsugae mushroom,
Agaricus xanthodermus,105,105,a photo of Agaricus xanthodermus;a photograph of Agaricus xanthodermus;an image of Agaricus xanthodermus;a picture of Agaricus xanthodermus;Agaricus xanthodermus mushroom,
Boletus rex-veris,110,110,a photo of Boletus rex-veris;a photograph of Boletus rex-veris;an image of Boletus rex-veris;a picture of Boletus rex-veris;Boletus rex-veris mushroom,
Stereum ostrea,104,98,a photo of Stereum ostrea;a photograph of Stereum ostrea;an image of Stereum ostrea;a picture of Stereum ostrea;Stereum ostrea mushroom,a photo of 0.39–2.76 in;a photograph of 0.39–2.76 in;0.39–2.76 in mushroom;0.39–2.76 in fungus;photo of 0.39–2.76 in mushroom
Bjerkandera adusta,114,114,a photo of Bjerkandera adusta;a photograph of Bjerkandera adusta;an image of Bjerkandera adusta;a picture of Bjerkandera adusta;Bjerkandera adusta mushroom,
Cladonia rangiferina,88,88,a photo of Cladonia rangiferina;a photograph of Cladonia rangiferina;an image of Cladonia rangiferina;a picture of Cladonia rangiferina;Cladonia rangiferina mushroom,
Trametes hirsuta,102,102,a photo of Trametes hirsuta;a photograph of Trametes hirsuta;an image of Trametes hirsuta;a picture of Trametes hirsuta;Trametes hirsuta mushroom,
Coprinus comatus,129,129,a photo of Coprinus comatus;a photograph of Coprinus comatus;an image of Coprinus comatus;a picture of Coprinus comatus;Coprinus comatus mushroom,
Amanita rubescens,164,164,a photo of Amanita rubescens;a photograph of Amanita rubescens;an image of Amanita rubescens;a picture of Amanita rubescens;Amanita rubescens mushroom,
Amanita amerirubescens,120,120,a photo of Amanita amerirubescens;a photograph of Amanita amerirubescens;an image of Amanita amerirubescens;a picture of Amanita amerirubescens;Amanita amerirubescens mushroom,
Armillaria tabescens,111,111,a photo of Armillaria tabescens;a photograph of Armillaria tabescens;an image of Armillaria tabescens;a picture of Armillaria tabescens;Armillaria tabescens mushroom,
Ganoderma curtisii,121,121,a photo of Ganoderma curtisii;a photograph of Ganoderma curtisii;an image of Ganoderma curtisii;a picture of Ganoderma curtisii;Ganoderma curtisii mushroom,
Phyllotopsis nidulans,133,133,a photo of Phyllotopsis nidulans;a photograph of Phyllotopsis nidulans;an image of Phyllotopsis nidulans;a picture of Phyllotopsis nidulans;Phyllotopsis nidulans mushroom,
Paxillus involutus,131,131,a photo of Paxillus involutus;a photograph of Paxillus involutus;an image of Paxillus involutus;a picture of Paxillus involutus;Paxillus involutus mushroom,
Lactarius deliciosus,116,116,a photo of Lactarius deliciosus;a photograph of Lactarius deliciosus;an image of Lactarius deliciosus;a picture of Lactarius deliciosus;Lactarius deliciosus mushroom,
Galerina marginata,105,105,a photo of Galerina marginata;a photograph of Galerina marginata;an image of Galerina marginata;a picture of Galerina marginata;Galerina marginata mushroom,
Physcia adscendens,91,91,a photo of Physcia adscendens;a photograph of Physcia adscendens;an image of Physcia adscendens;a picture of Physcia adscendens;Physcia adscendens mushroom,
Pleurotus pulmonarius,100,100,a photo of Pleurotus pulmonarius;a photograph of Pleurotus pulmonarius;an image of Pleurotus pulmonarius;a picture of Pleurotus pulmonarius;Pleurotus pulmonarius mushroom,
Phaeolus schweinitzii,117,117,a photo of Phaeolus schweinitzii;a photograph of Phaeolus schweinitzii;an image of Phaeolus schweinitzii;a picture of Phaeolus schweinitzii;Phaeolus schweinitzii mushroom,
Phaeophyscia orbicularis,91,91,a photo of Phaeophyscia orbicularis;a photograph of Phaeophyscia orbicularis;an image of Phaeophyscia orbicularis;a picture of Phaeophyscia orbicularis;Phaeophyscia orbicularis mushroom,
Psathyrella candolleana,104,104,a photo of Psathyrella candolleana;a photograph of Psathyrella candolleana;an image of Psathyrella candolleana;a picture of Psathyrella candolleana;Psathyrella candolleana mushroom,
Boletus pallidus,113,113,a photo of Boletus pallidus;a photograph of Boletus pallidus;an image of Boletus pallidus;a picture of Boletus pallidus;Boletus pallidus mushroom,
Hypholoma lateritium,97,97,a photo of Hypholoma lateritium;a photograph of Hypholoma lateritium;an image of Hypholoma lateritium;a picture of Hypholoma lateritium;Hypholoma lateritium mushroom,
Coltricia perennis,91,91,a photo of Coltricia perennis;a photograph of Coltricia perennis;an image of Coltricia perennis;a picture of Coltricia perennis;Coltricia perennis mushroom,
Mycena haematopus,132,132,a photo of Mycena haematopus;a photograph of Mycena haematopus;an image of Mycena haematopus;a picture of Mycena haematopus;Mycena haematopus mushroom,
Omphalotus illudens,112,112,a photo of Omphalotus illudens;a photograph of Omphalotus illudens;an image of Omphalotus illudens;a picture of Omphalotus illudens;Omphalotus illudens mushroom,
Leccinum albostipitatum,97,97,a photo of Leccinum albostipitatum;a photograph of Leccinum albostipitatum;an image of Leccinum albostipitatum;a picture of Leccinum albostipitatum;Leccinum albostipitatum mushroom,
Pholiota aurivella,106,106,a photo of Pholiota aurivella;a photograph of Pholiota aurivella;an image of Pholiota aurivella;a picture of Pholiota aurivella;Pholiota aurivella mushroom,
Coprinellus disseminatus,104,104,a photo of Coprinellus disseminatus;a photograph of Coprinellus disseminatus;an image of Coprinellus disseminatus;a picture of Coprinellus disseminatus;Coprinellus disseminatus mushroom,
Retiboletus ornatipes,113,113,a photo of Retiboletus ornatipes;a photograph of Retiboletus ornatipes;an image of Retiboletus ornatipes;a picture of Retiboletus ornatipes;Retiboletus ornatipes mushroom,
Amanita phalloides,163,163,a photo of Amanita phalloides;a photograph of Amanita phalloides;an image of Amanita phalloides;a picture of Amanita phalloides;Amanita phalloides mushroom,
Peltigera praetextata,87,87,a photo of Peltigera praetextata;a photograph of Peltigera praetextata;an image of Peltigera praetextata;a picture of Peltigera praetextata;Peltigera praetextata mushroom,
Lobaria pulmonaria,91,91,a photo of Lobaria pulmonaria;a photograph of Lobaria pulmonaria;an image of Lobaria pulmonaria;a picture of Lobaria pulmonaria;Lobaria pulmonaria mushroom,
Phlebia radiata,110,110,a photo of Phlebia radiata;a photograph of Phlebia radiata;an image of Phlebia radiata;a picture of Phlebia radiata;Phlebia radiata mushroom,
Artomyces pyxidatus,91,91,a photo of Artomyces pyxidatus;a photograph of Artomyces pyxidatus;an image of Artomyces pyxidatus;a picture of Artomyces pyxidatus;Artomyces pyxidatus mushroom,
Amanita velosa,133,133,a photo of Amanita velosa;a photograph of Amanita velosa;an image of Amanita velosa;a picture of Amanita velosa;Amanita velosa mushroom,
Psilocybe ovoideocystidiata,122,122,a photo of Psilocybe ovoideocystidiata;a photograph of Psilocybe ovoideocystidiata;an image of Psilocybe ovoideocystidiata;a picture of Psilocybe ovoideocystidiata;Psilocybe ovoideocystidiata mushroom,
Tremella mesenterica,111,105,a photo of Tremella mesenterica;a photograph of Tremella mesenterica;an image of Tremella mesenterica;a picture of Tremella mesenterica;Tremella mesenterica mushroom,a photo of 3 in;a photograph of 3 in;3 in mushroom;3 in fungus;photo of 3 in mushroom
Psilocybe cubensis,189,189,a photo of Psilocybe cubensis;a photograph of Psilocybe cubensis;an image of Psilocybe cubensis;a picture of Psilocybe cubensis;Psilocybe cubensis mushroom,
Suillus grevillei,112,112,a photo of Suillus grevillei;a photograph of Suillus grevillei;an image of Suillus grevillei;a picture of Suillus grevillei;Suillus grevillei mushroom,
Trametes ochracea,106,106,a photo of Trametes ochracea;a photograph of Trametes ochracea;an image of Trametes ochracea;a picture of Trametes ochracea;Trametes ochracea mushroom,
Clitocybe nebularis,105,105,a photo of Clitocybe nebularis;a photograph of Clitocybe nebularis;an image of Clitocybe nebularis;a picture of Clitocybe nebularis;Clitocybe nebularis mushroom,
Coprinopsis lagopus,102,102,a photo of Coprinopsis lagopus;a photograph of Coprinopsis lagopus;an image of Coprinopsis lagopus;a picture of Coprinopsis lagopus;Coprinopsis lagopus mushroom,
Psilocybe cyanescens,129,129,a photo of Psilocybe cyanescens;a photograph of Psilocybe cyanescens;an image of Psilocybe cyanescens;a picture of Psilocybe cyanescens;Psilocybe cyanescens mushroom,
Sarcosoma globosum,99,99,a photo of Sarcosoma globosum;a photograph of Sarcosoma globosum;an image of Sarcosoma globosum;a picture of Sarcosoma globosum;Sarcosoma globosum mushroom,
Verpa bohemica,101,101,a photo of Verpa bohemica;a photograph of Verpa bohemica;an image of Verpa bohemica;a picture of Verpa bohemica;Verpa bohemica mushroom,
Daedaleopsis tricolor,108,108,a photo of Daedaleopsis tricolor;a photograph of Daedaleopsis tricolor;an image of Daedaleopsis tricolor;a picture of Daedaleopsis tricolor;Daedaleopsis tricolor mushroom,
Armillaria mellea,177,177,a photo of Armillaria mellea;a photograph of Armillaria mellea;an image of Armillaria mellea;a picture of Armillaria mellea;Armillaria mellea mushroom,
Tylopilus felleus,123,123,a photo of Tylopilus felleus;a photograph of Tylopilus felleus;an image of Tylopilus felleus;a picture of Tylopilus felleus;Tylopilus felleus mushroom,
Kuehneromyces mutabilis,105,105,a photo of Kuehneromyces mutabilis;a photograph of Kuehneromyces mutabilis;an image of Kuehneromyces mutabilis;a picture of Kuehneromyces mutabilis;Kuehneromyces mutabilis mushroom,
Phallus impudicus,107,107,a photo of Phallus impudicus;a photograph of Phallus impudicus;an image of Phallus impudicus;a picture of Phallus impudicus;Phallus impudicus mushroom,
Ischnoderma resinosum,102,102,a photo of Ischnoderma resinosum;a photograph of Ischnoderma resinosum;an image of Ischnoderma resinosum;a picture of Ischnoderma resinosum;Ischnoderma resinosum mushroom,
Cladonia stellaris,92,92,a photo of Cladonia stellaris;a photograph of Cladonia stellaris;an image of Cladonia stellaris;a picture of Cladonia stellaris;Cladonia stellaris mushroom,
Gliophorus psittacinus,114,114,a photo of Gliophorus psittacinus;a photograph of Gliophorus psittacinus;an image of Gliophorus psittacinus;a picture of Gliophorus psittacinus;Gliophorus psittacinus mushroom,
Hygrophoropsis aurantiaca,115,115,a photo of Hygrophoropsis aurantiaca;a photograph of Hygrophoropsis aurantiaca;an image of Hygrophoropsis aurantiaca;a picture of Hygrophoropsis aurantiaca;Hygrophoropsis aurantiaca mushroom,
Cantharellus cibarius,180,180,a photo of Cantharellus cibarius;a photograph of Cantharellus cibarius;an image of Cantharellus cibarius;a picture of Cantharellus cibarius;Cantharellus cibarius mushroom,
Ganoderma oregonense,106,106,a photo of Ganoderma oregonense;a photograph of Ganoderma oregonense;an image of Ganoderma oregonense;a picture of Ganoderma oregonense;Ganoderma oregonense mushroom,
Chlorophyllum molybdites,119,119,a photo of Chlorophyllum molybdites;a photograph of Chlorophyllum molybdites;an image of Chlorophyllum molybdites;a picture of Chlorophyllum molybdites;Chlorophyllum molybdites mushroom,
Phellinus tremulae,101,101,a photo of Phellinus tremulae;a photograph of Phellinus tremulae;an image of Phellinus tremulae;a picture of Phellinus tremulae;Phellinus tremulae mushroom,
Imleria badia,114,114,a photo of Imleria badia;a photograph of Imleria badia;an image of Imleria badia;a picture of Imleria badia;Imleria badia mushroom,
Panaeolus papilionaceus,107,107,a photo of Panaeolus papilionaceus;a photograph of Panaeolus papilionaceus;an image of Panaeolus papilionaceus;a picture of Panaeolus papilionaceus;Panaeolus papilionaceus mushroom,
Suillus spraguei,87,87,a photo of Suillus spraguei;a photograph of Suillus spraguei;an image of Suillus spraguei;a picture of Suillus spraguei;Suillus spraguei mushroom,
Lycoperdon pyriforme,106,106,a photo of Lycoperdon pyriforme;a photograph of Lycoperdon pyriforme;an image of Lycoperdon pyriforme;a picture of Lycoperdon pyriforme;Lycoperdon pyriforme mushroom,
Lepista nuda,128,128,a photo of Lepista nuda;a photograph of Lepista nuda;an image of Lepista nuda;a picture of Lepista nuda;Lepista nuda mushroom,
Vulpicida pinastri,86,86,a photo of Vulpicida pinastri;a photograph of Vulpicida pinastri;an image of Vulpicida pinastri;a picture of Vulpicida pinastri;Vulpicida pinastri mushroom,
Leucoagaricus americanus,94,94,a photo of Leucoagaricus americanus;a photograph of Leucoagaricus americanus;an image of Leucoagaricus americanus;a picture of Leucoagaricus americanus;Leucoagaricus americanus mushroom,
Leccinum versipelle,109,109,a photo of Leccinum versipelle;a photograph of Leccinum versipelle;an image of Leccinum versipelle;a picture of Leccinum versipelle;Leccinum versipelle mushroom,
Platismatia glauca,113,113,a photo of Platismatia glauca;a photograph of Platismatia glauca;an image of Platismatia glauca;a picture of Platismatia glauca;Platismatia glauca mushroom,
Amanita persicina,126,126,a photo of Amanita persicina;a photograph of Amanita persicina;an image of Amanita persicina;a picture of Amanita persicina;Amanita persicina mushroom,
Cantharellus californicus,113,113,a photo of Cantharellus californicus;a photograph of Cantharellus californicus;an image of Cantharellus californicus;a picture of Cantharellus californicus;Cantharellus californicus mushroom,
Leucoagaricus leucothites,106,106,a photo of Leucoagaricus leucothites;a photograph of Leucoagaricus leucothites;an image of Leucoagaricus leucothites;a picture of Leucoagaricus leucothites;Leucoagaricus leucothites mushroom,
Psilocybe caerulescens,115,115,a photo of Psilocybe caerulescens;a photograph of Psilocybe caerulescens;an image of Psilocybe caerulescens;a picture of Psilocybe caerulescens;Psilocybe caerulescens mushroom,
Tricholoma murrillianum,94,94,a photo of Tricholoma murrillianum;a photograph of Tricholoma murrillianum;an image of Tricholoma murrillianum;a picture of Tricholoma murrillianum;Tricholoma murrillianum mushroom,
Cetraria islandica,94,94,a photo of Cetraria islandica;a photograph of Cetraria islandica;an image of Cetraria islandica;a picture of Cetraria islandica;Cetraria islandica mushroom,
Urnula craterium,95,95,a photo of Urnula craterium;a photograph of Urnula craterium;an image of Urnula craterium;a picture of Urnula craterium;Urnula craterium mushroom,
Calocera viscosa,110,110,a photo of Calocera viscosa;a photograph of Calocera viscosa;an image of Calocera viscosa;a picture of Calocera viscosa;Calocera viscosa mushroom,
Pholiota squarrosa,95,95,a photo of Pholiota squarrosa;a photograph of Pholiota squarrosa;an image of Pholiota squarrosa;a picture of Pholiota squarrosa;Pholiota squarrosa mushroom,
Omphalotus olivascens,102,102,a photo of Omphalotus olivascens;a photograph of Omphalotus olivascens;an image of Omphalotus olivascens;a picture of Omphalotus olivascens;Omphalotus olivascens mushroom,
Merulius tremellosus,93,93,a photo of Merulius tremellosus;a photograph of Merulius tremellosus;an image of Merulius tremellosus;a picture of Merulius tremellosus;Merulius tremellosus mushroom,
