label,prompt,mean_same,max_other,score
Agaricus augustus,brown-colored Agaricus augustus fungus,-inf,-inf,
Agaricus augustus,photograph of brown Agaricus augustus,-inf,-inf,
Agaricus augustus,Agaricus augustus showing textured surface,-inf,-inf,
Agaricus augustus,mushroom with textured cap texture,-inf,-inf,
Agaricus augustus,textured Agaricus augustus specimen,-inf,-inf,
Agaricus augustus,balanced contrast photograph of Agaricus augustus,-inf,-inf,
Agaricus augustus,Agaricus augustus in balanced contrast conditions,-inf,-inf,
Agaricus augustus,Agaricus augustus with black and brown coloring and moderately textured texture,-inf,-inf,
Agaricus augustus,Agaricus augustus mushroom with green coloration,-inf,-inf,
Agaricus augustus,mushroom displaying green tones,-inf,-inf,
Agaricus augustus,green-colored Agaricus augustus fungus,-inf,-inf,
Agaricus augustus,photograph of green Agaricus augustus,-inf,-inf,
Agaricus augustus,Agaricus augustus with green and cream coloring and moderately textured texture,-inf,-inf,
Agaricus augustus,green Agaricus augustus mushroom with irregular cap,-inf,-inf,
Agaricus augustus,Agaricus augustus typically displaying black coloration,-inf,-inf,
Agaricus augustus,Agaricus augustus typically displaying cream coloration,-inf,-inf,
Agaricus augustus,Agaricus augustus typically displaying gray coloration,-inf,-inf,
Agaricus augustus,Agaricus augustus commonly showing highly detailed,-inf,-inf,
Agaricus augustus,Agaricus augustus commonly showing moderately textured,-inf,-inf,
Agaricus augustus,a photo of the prince,-inf,-inf,
Agaricus augustus,a photograph of the prince,-inf,-inf,
Agaricus augustus,the prince mushroom,-inf,-inf,
Agaricus augustus,the prince fungus,-inf,-inf,
Agaricus augustus,photo of the prince mushroom,-inf,-inf,
Agaricus augustus,field guide photo of the prince,-inf,-inf,
Agaricus xanthodermus,Agaricus xanthodermus mushroom with black coloration,-inf,-inf,
Agaricus xanthodermus,mushroom displaying black tones,-inf,-inf,
Agaricus xanthodermus,black-colored Agaricus xanthodermus fungus,-inf,-inf,
Agaricus xanthodermus,photograph of black Agaricus xanthodermus,-inf,-inf,
Agaricus xanthodermus,Agaricus xanthodermus mushroom with gray coloration,-inf,-inf,
Agaricus xanthodermus,mushroom displaying gray tones,-inf,-inf,
Agaricus xanthodermus,gray-colored Agaricus xanthodermus fungus,-inf,-inf,
Agaricus xanthodermus,photograph of gray Agaricus xanthodermus,-inf,-inf,
Agaricus xanthodermus,Agaricus xanthodermus mushroom with cream coloration,-inf,-inf,
Agaricus xanthodermus,mushroom displaying cream tones,-inf,-inf,
Agaricus xanthodermus,cream-colored Agaricus xanthodermus fungus,-inf,-inf,
Agaricus xanthodermus,photograph of cream Agaricus xanthodermus,-inf,-inf,
Agaricus xanthodermus,Agaricus xanthodermus showing rough surface,-inf,-inf,
Agaricus xanthodermus,mushroom with rough cap texture,-inf,-inf,
Agaricus xanthodermus,rough Agaricus xanthodermus specimen,-inf,-inf,
Agaricus xanthodermus,Agaricus xanthodermus showing highly detailed surface,-inf,-inf,
Agaricus xanthodermus,mushroom with highly detailed cap texture,-inf,-inf,
Agaricus xanthodermus,highly detailed Agaricus xanthodermus specimen,-inf,-inf,
Agaricus xanthodermus,Agaricus xanthodermus with irregular cap,-inf,-inf,
Agaricus xanthodermus,mushroom displaying irregular cap,-inf,-inf,
Agaricus xanthodermus,Agaricus xanthodermus showing irregular cap,-inf,-inf,
Agaricus xanthodermus,Agaricus xanthodermus with balanced proportions,-inf,-inf,
Agaricus xanthodermus,mushroom displaying balanced proportions,-inf,-inf,
Agaricus xanthodermus,Agaricus xanthodermus showing balanced proportions,-inf,-inf,
Agaricus xanthodermus,naturally lit photograph of Agaricus xanthodermus,-inf,-inf,
Agaricus xanthodermus,Agaricus xanthodermus in naturally lit conditions,-inf,-inf,
Agaricus xanthodermus,high contrast photograph of Agaricus xanthodermus,-inf,-inf,
Agaricus xanthodermus,Agaricus xanthodermus in high contrast conditions,-inf,-inf,
Agaricus xanthodermus,Agaricus xanthodermus with black and gray coloring and rough texture,-inf,-inf,
Agaricus xanthodermus,black Agaricus xanthodermus mushroom with irregular cap,-inf,-inf,
Agaricus xanthodermus,Agaricus xanthodermus showing moderately textured surface,-inf,-inf,
Agaricus xanthodermus,mushroom with moderately textured cap texture,-inf,-inf,
Agaricus xanthodermus,moderately textured Agaricus xanthodermus specimen,-inf,-inf,
Agaricus xanthodermus,"Agaricus xanthodermus with tall, narrow form",-inf,-inf,
Agaricus xanthodermus,"mushroom displaying tall, narrow form",-inf,-inf,
Agaricus xanthodermus,"Agaricus xanthodermus showing tall, narrow form",-inf,-inf,
Agaricus xanthodermus,Agaricus xanthodermus with gray and black coloring and moderately textured texture,-inf,-inf,
Agaricus xanthodermus,gray Agaricus xanthodermus mushroom with irregular cap,-inf,-inf,
Agaricus xanthodermus,Agaricus xanthodermus mushroom with tan coloration,-inf,-inf,
Agaricus xanthodermus,mushroom displaying tan tones,-inf,-inf,
Agaricus xanthodermus,tan-colored Agaricus xanthodermus fungus,-inf,-inf,
Agaricus xanthodermus,photograph of tan Agaricus xanthodermus,-inf,-inf,
Agaricus xanthodermus,"Agaricus xanthodermus with wide, spreading form",-inf,-inf,
Agaricus xanthodermus,"mushroom displaying wide, spreading form",-inf,-inf,
Agaricus xanthodermus,"Agaricus xanthodermus showing wide, spreading form",-inf,-inf,
Agaricus xanthodermus,balanced contrast photograph of Agaricus xanthodermus,-inf,-inf,
Agaricus xanthodermus,Agaricus xanthodermus in balanced contrast conditions,-inf,-inf,
Agaricus xanthodermus,"dark, shadowy photograph of Agaricus xanthodermus",-inf,-inf,
Agaricus xanthodermus,"Agaricus xanthodermus in dark, shadowy conditions",-inf,-inf,
Agaricus xanthodermus,Agaricus xanthodermus typically displaying black coloration,-inf,-inf,
Agaricus xanthodermus,Agaricus xanthodermus typically displaying gray coloration,-inf,-inf,
Agaricus xanthodermus,Agaricus xanthodermus typically displaying cream coloration,-inf,-inf,
Agaricus xanthodermus,Agaricus xanthodermus commonly showing highly detailed,-inf,-inf,
Agaricus xanthodermus,Agaricus xanthodermus commonly showing moderately textured,-inf,-inf,
Agaricus xanthodermus,a photo of the yellow-staining agaricus,-inf,-inf,
Agaricus xanthodermus,a photograph of the yellow-staining agaricus,-inf,-inf,
Agaricus xanthodermus,the yellow-staining agaricus mushroom,-inf,-inf,
Agaricus xanthodermus,the yellow-staining agaricus fungus,-inf,-inf,
Agaricus xanthodermus,photo of the yellow-staining agaricus mushroom,-inf,-inf,
Agaricus xanthodermus,field guide photo of the yellow-staining agaricus,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens mushroom with tan coloration,-inf,-inf,
Amanita amerirubescens,mushroom displaying tan tones,-inf,-inf,
Amanita amerirubescens,tan-colored Amanita amerirubescens fungus,-inf,-inf,
Amanita amerirubescens,photograph of tan Amanita amerirubescens,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens mushroom with black coloration,-inf,-inf,
Amanita amerirubescens,mushroom displaying black tones,-inf,-inf,
Amanita amerirubescens,black-colored Amanita amerirubescens fungus,-inf,-inf,
Amanita amerirubescens,photograph of black Amanita amerirubescens,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens showing moderately textured surface,-inf,-inf,
Amanita amerirubescens,mushroom with moderately textured cap texture,-inf,-inf,
Amanita amerirubescens,moderately textured Amanita amerirubescens specimen,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens showing highly detailed surface,-inf,-inf,
Amanita amerirubescens,mushroom with highly detailed cap texture,-inf,-inf,
Amanita amerirubescens,highly detailed Amanita amerirubescens specimen,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens with irregular cap,-inf,-inf,
Amanita amerirubescens,mushroom displaying irregular cap,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens showing irregular cap,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens with balanced proportions,-inf,-inf,
Amanita amerirubescens,mushroom displaying balanced proportions,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens showing balanced proportions,-inf,-inf,
Amanita amerirubescens,naturally lit photograph of Amanita amerirubescens,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens in naturally lit conditions,-inf,-inf,
Amanita amerirubescens,balanced contrast photograph of Amanita amerirubescens,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens in balanced contrast conditions,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens with tan and black coloring and moderately textured texture,-inf,-inf,
Amanita amerirubescens,tan Amanita amerirubescens mushroom with irregular cap,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens mushroom with gray coloration,-inf,-inf,
Amanita amerirubescens,mushroom displaying gray tones,-inf,-inf,
Amanita amerirubescens,gray-colored Amanita amerirubescens fungus,-inf,-inf,
Amanita amerirubescens,photograph of gray Amanita amerirubescens,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens showing rough surface,-inf,-inf,
Amanita amerirubescens,mushroom with rough cap texture,-inf,-inf,
Amanita amerirubescens,rough Amanita amerirubescens specimen,-inf,-inf,
Amanita amerirubescens,"Amanita amerirubescens with wide, spreading form",-inf,-inf,
Amanita amerirubescens,"mushroom displaying wide, spreading form",-inf,-inf,
Amanita amerirubescens,"Amanita amerirubescens showing wide, spreading form",-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens with gray and black coloring and rough texture,-inf,-inf,
Amanita amerirubescens,gray Amanita amerirubescens mushroom with irregular cap,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens mushroom with green coloration,-inf,-inf,
Amanita amerirubescens,mushroom displaying green tones,-inf,-inf,
Amanita amerirubescens,green-colored Amanita amerirubescens fungus,-inf,-inf,
Amanita amerirubescens,photograph of green Amanita amerirubescens,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens mushroom with brown coloration,-inf,-inf,
Amanita amerirubescens,mushroom displaying brown tones,-inf,-inf,
Amanita amerirubescens,brown-colored Amanita amerirubescens fungus,-inf,-inf,
Amanita amerirubescens,photograph of brown Amanita amerirubescens,-inf,-inf,
Amanita amerirubescens,"Amanita amerirubescens with tall, narrow form",-inf,-inf,
Amanita amerirubescens,"mushroom displaying tall, narrow form",-inf,-inf,
Amanita amerirubescens,"Amanita amerirubescens showing tall, narrow form",-inf,-inf,
Amanita amerirubescens,"dark, shadowy photograph of Amanita amerirubescens",-inf,-inf,
Amanita amerirubescens,"Amanita amerirubescens in dark, shadowy conditions",-inf,-inf,
Amanita amerirubescens,high contrast photograph of Amanita amerirubescens,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens in high contrast conditions,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens with green and black coloring and rough texture,-inf,-inf,
Amanita amerirubescens,green Amanita amerirubescens mushroom with irregular cap,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens with black and gray coloring and moderately textured texture,-inf,-inf,
Amanita amerirubescens,black Amanita amerirubescens mushroom with irregular cap,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens with black and gray coloring and rough texture,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens typically displaying black coloration,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens typically displaying gray coloration,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens typically displaying tan coloration,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens commonly showing highly detailed,-inf,-inf,
Amanita amerirubescens,Amanita amerirubescens commonly showing rough,-inf,-inf,
Amanita augusta,Amanita augusta mushroom with black coloration,-inf,-inf,
Amanita augusta,mushroom displaying black tones,-inf,-inf,
Amanita augusta,black-colored Amanita augusta fungus,-inf,-inf,
Amanita augusta,photograph of black Amanita augusta,-inf,-inf,
Amanita augusta,Amanita augusta mushroom with gray coloration,-inf,-inf,
Amanita augusta,mushroom displaying gray tones,-inf,-inf,
Amanita augusta,gray-colored Amanita augusta fungus,-inf,-inf,
Amanita augusta,photograph of gray Amanita augusta,-inf,-inf,
Amanita augusta,Amanita augusta showing rough surface,-inf,-inf,
Amanita augusta,mushroom with rough cap texture,-inf,-inf,
Amanita augusta,rough Amanita augusta specimen,-inf,-inf,
Amanita augusta,Amanita augusta showing highly detailed surface,-inf,-inf,
Amanita augusta,mushroom with highly detailed cap texture,-inf,-inf,
Amanita augusta,highly detailed Amanita augusta specimen,-inf,-inf,
Amanita augusta,Amanita augusta with irregular cap,-inf,-inf,
Amanita augusta,mushroom displaying irregular cap,-inf,-inf,
Amanita augusta,Amanita augusta showing irregular cap,-inf,-inf,
Amanita augusta,Amanita augusta with balanced proportions,-inf,-inf,
Amanita augusta,mushroom displaying balanced proportions,-inf,-inf,
Amanita augusta,Amanita augusta showing balanced proportions,-inf,-inf,
Amanita augusta,naturally lit photograph of Amanita augusta,-inf,-inf,
Amanita augusta,Amanita augusta in naturally lit conditions,-inf,-inf,
Amanita augusta,balanced contrast photograph of Amanita augusta,-inf,-inf,
Amanita augusta,Amanita augusta in balanced contrast conditions,-inf,-inf,
Amanita augusta,Amanita augusta with black and gray coloring and rough texture,-inf,-inf,
Amanita augusta,black Amanita augusta mushroom with irregular cap,-inf,-inf,
Amanita augusta,Amanita augusta mushroom with brown coloration,-inf,-inf,
Amanita augusta,mushroom displaying brown tones,-inf,-inf,
Amanita augusta,brown-colored Amanita augusta fungus,-inf,-inf,
Amanita augusta,photograph of brown Amanita augusta,-inf,-inf,
Amanita augusta,Amanita augusta mushroom with tan coloration,-inf,-inf,
Amanita augusta,mushroom displaying tan tones,-inf,-inf,
Amanita augusta,tan-colored Amanita augusta fungus,-inf,-inf,
Amanita augusta,photograph of tan Amanita augusta,-inf,-inf,
Amanita augusta,Amanita augusta showing moderately textured surface,-inf,-inf,
Amanita augusta,mushroom with moderately textured cap texture,-inf,-inf,
Amanita augusta,moderately textured Amanita augusta specimen,-inf,-inf,
Amanita augusta,Amanita augusta showing textured surface,-inf,-inf,
Amanita augusta,mushroom with textured cap texture,-inf,-inf,
Amanita augusta,textured Amanita augusta specimen,-inf,-inf,
Amanita augusta,"Amanita augusta with wide, spreading form",-inf,-inf,
Amanita augusta,"mushroom displaying wide, spreading form",-inf,-inf,
Amanita augusta,"Amanita augusta showing wide, spreading form",-inf,-inf,
Amanita augusta,Amanita augusta with black and brown coloring and moderately textured texture,-inf,-inf,
Amanita augusta,"dark, shadowy photograph of Amanita augusta",-inf,-inf,
Amanita augusta,"Amanita augusta in dark, shadowy conditions",-inf,-inf,
Amanita augusta,Amanita augusta with brown and black coloring and rough texture,-inf,-inf,
Amanita augusta,brown Amanita augusta mushroom with irregular cap,-inf,-inf,
Amanita augusta,Amanita augusta with black and brown coloring and rough texture,-inf,-inf,
Amanita augusta,"Amanita augusta with tall, narrow form",-inf,-inf,
Amanita augusta,"mushroom displaying tall, narrow form",-inf,-inf,
Amanita augusta,"Amanita augusta showing tall, narrow form",-inf,-inf,
Amanita augusta,Amanita augusta with black and gray coloring and moderately textured texture,-inf,-inf,
Amanita augusta,Amanita augusta typically displaying black coloration,-inf,-inf,
Amanita augusta,Amanita augusta typically displaying brown coloration,-inf,-inf,
Amanita augusta,Amanita augusta typically displaying gray coloration,-inf,-inf,
Amanita augusta,Amanita augusta commonly showing highly detailed,-inf,-inf,
Amanita augusta,Amanita augusta commonly showing rough,-inf,-inf,
Amanita augusta,a photo of the western yellow-veil,-inf,-inf,
Amanita augusta,a photograph of the western yellow-veil,-inf,-inf,
Amanita augusta,the western yellow-veil mushroom,-inf,-inf,
Amanita augusta,the western yellow-veil fungus,-inf,-inf,
Amanita augusta,photo of the western yellow-veil mushroom,-inf,-inf,
Amanita augusta,field guide photo of the western yellow-veil,-inf,-inf,
Amanita augusta,a photo of western yellow-veiled amanita,-inf,-inf,
Amanita augusta,a photograph of western yellow-veiled amanita,-inf,-inf,
Amanita augusta,western yellow-veiled amanita mushroom,-inf,-inf,
Amanita augusta,western yellow-veiled amanita fungus,-inf,-inf,
Amanita augusta,photo of western yellow-veiled amanita mushroom,-inf,-inf,
Amanita augusta,field guide photo of western yellow-veiled amanita,-inf,-inf,
Amanita brunnescens,Amanita brunnescens mushroom with gray coloration,-inf,-inf,
Amanita brunnescens,mushroom displaying gray tones,-inf,-inf,
Amanita brunnescens,gray-colored Amanita brunnescens fungus,-inf,-inf,
Amanita brunnescens,photograph of gray Amanita brunnescens,-inf,-inf,
Amanita brunnescens,Amanita brunnescens mushroom with cream coloration,-inf,-inf,
Amanita brunnescens,mushroom displaying cream tones,-inf,-inf,
Amanita brunnescens,cream-colored Amanita brunnescens fungus,-inf,-inf,
Amanita brunnescens,photograph of cream Amanita brunnescens,-inf,-inf,
Amanita brunnescens,Amanita brunnescens mushroom with black coloration,-inf,-inf,
Amanita brunnescens,mushroom displaying black tones,-inf,-inf,
Amanita brunnescens,black-colored Amanita brunnescens fungus,-inf,-inf,
Amanita brunnescens,photograph of black Amanita brunnescens,-inf,-inf,
Amanita brunnescens,Amanita brunnescens showing rough surface,-inf,-inf,
Amanita brunnescens,mushroom with rough cap texture,-inf,-inf,
Amanita brunnescens,rough Amanita brunnescens specimen,-inf,-inf,
Amanita brunnescens,Amanita brunnescens showing highly detailed surface,-inf,-inf,
Amanita brunnescens,mushroom with highly detailed cap texture,-inf,-inf,
Amanita brunnescens,highly detailed Amanita brunnescens specimen,-inf,-inf,
Amanita brunnescens,Amanita brunnescens with irregular cap,-inf,-inf,
Amanita brunnescens,mushroom displaying irregular cap,-inf,-inf,
Amanita brunnescens,Amanita brunnescens showing irregular cap,-inf,-inf,
Amanita brunnescens,Amanita brunnescens with balanced proportions,-inf,-inf,
Amanita brunnescens,mushroom displaying balanced proportions,-inf,-inf,
Amanita brunnescens,Amanita brunnescens showing balanced proportions,-inf,-inf,
Amanita brunnescens,naturally lit photograph of Amanita brunnescens,-inf,-inf,
Amanita brunnescens,Amanita brunnescens in naturally lit conditions,-inf,-inf,
Amanita brunnescens,high contrast photograph of Amanita brunnescens,-inf,-inf,
Amanita brunnescens,Amanita brunnescens in high contrast conditions,-inf,-inf,
Amanita brunnescens,Amanita brunnescens with gray and cream coloring and rough texture,-inf,-inf,
Amanita brunnescens,gray Amanita brunnescens mushroom with irregular cap,-inf,-inf,
Amanita brunnescens,Amanita brunnescens mushroom with brown coloration,-inf,-inf,
Amanita brunnescens,mushroom displaying brown tones,-inf,-inf,
Amanita brunnescens,brown-colored Amanita brunnescens fungus,-inf,-inf,
Amanita brunnescens,photograph of brown Amanita brunnescens,-inf,-inf,
Amanita brunnescens,"Amanita brunnescens with tall, narrow form",-inf,-inf,
Amanita brunnescens,"mushroom displaying tall, narrow form",-inf,-inf,
Amanita brunnescens,"Amanita brunnescens showing tall, narrow form",-inf,-inf,
Amanita brunnescens,"dark, shadowy photograph of Amanita brunnescens",-inf,-inf,
Amanita brunnescens,"Amanita brunnescens in dark, shadowy conditions",-inf,-inf,
Amanita brunnescens,balanced contrast photograph of Amanita brunnescens,-inf,-inf,
Amanita brunnescens,Amanita brunnescens in balanced contrast conditions,-inf,-inf,
Amanita brunnescens,Amanita brunnescens with black and brown coloring and rough texture,-inf,-inf,
Amanita brunnescens,black Amanita brunnescens mushroom with irregular cap,-inf,-inf,
Amanita brunnescens,Amanita brunnescens showing moderately textured surface,-inf,-inf,
Amanita brunnescens,mushroom with moderately textured cap texture,-inf,-inf,
Amanita brunnescens,moderately textured Amanita brunnescens specimen,-inf,-inf,
Amanita brunnescens,"Amanita brunnescens with wide, spreading form",-inf,-inf,
Amanita brunnescens,"mushroom displaying wide, spreading form",-inf,-inf,
Amanita brunnescens,"Amanita brunnescens showing wide, spreading form",-inf,-inf,
Amanita brunnescens,Amanita brunnescens with black and gray coloring and moderately textured texture,-inf,-inf,
Amanita brunnescens,Amanita brunnescens with black and gray coloring and rough texture,-inf,-inf,
Amanita brunnescens,Amanita brunnescens typically displaying black coloration,-inf,-inf,
Amanita brunnescens,Amanita brunnescens typically displaying gray coloration,-inf,-inf,
Amanita brunnescens,Amanita brunnescens typically displaying cream coloration,-inf,-inf,
Amanita brunnescens,Amanita brunnescens commonly showing highly detailed,-inf,-inf,
Amanita brunnescens,Amanita brunnescens commonly showing rough,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma mushroom with gray coloration,-inf,-inf,
Amanita calyptroderma,mushroom displaying gray tones,-inf,-inf,
Amanita calyptroderma,gray-colored Amanita calyptroderma fungus,-inf,-inf,
Amanita calyptroderma,photograph of gray Amanita calyptroderma,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma mushroom with black coloration,-inf,-inf,
Amanita calyptroderma,mushroom displaying black tones,-inf,-inf,
Amanita calyptroderma,black-colored Amanita calyptroderma fungus,-inf,-inf,
Amanita calyptroderma,photograph of black Amanita calyptroderma,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma showing rough surface,-inf,-inf,
Amanita calyptroderma,mushroom with rough cap texture,-inf,-inf,
Amanita calyptroderma,rough Amanita calyptroderma specimen,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma showing highly detailed surface,-inf,-inf,
Amanita calyptroderma,mushroom with highly detailed cap texture,-inf,-inf,
Amanita calyptroderma,highly detailed Amanita calyptroderma specimen,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma with irregular cap,-inf,-inf,
Amanita calyptroderma,mushroom displaying irregular cap,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma showing irregular cap,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma with balanced proportions,-inf,-inf,
Amanita calyptroderma,mushroom displaying balanced proportions,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma showing balanced proportions,-inf,-inf,
Amanita calyptroderma,"dark, shadowy photograph of Amanita calyptroderma",-inf,-inf,
Amanita calyptroderma,"Amanita calyptroderma in dark, shadowy conditions",-inf,-inf,
Amanita calyptroderma,high contrast photograph of Amanita calyptroderma,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma in high contrast conditions,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma with gray and black coloring and rough texture,-inf,-inf,
Amanita calyptroderma,gray Amanita calyptroderma mushroom with irregular cap,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma mushroom with brown coloration,-inf,-inf,
Amanita calyptroderma,mushroom displaying brown tones,-inf,-inf,
Amanita calyptroderma,brown-colored Amanita calyptroderma fungus,-inf,-inf,
Amanita calyptroderma,photograph of brown Amanita calyptroderma,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma with black and brown coloring and rough texture,-inf,-inf,
Amanita calyptroderma,black Amanita calyptroderma mushroom with irregular cap,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma showing moderately textured surface,-inf,-inf,
Amanita calyptroderma,mushroom with moderately textured cap texture,-inf,-inf,
Amanita calyptroderma,moderately textured Amanita calyptroderma specimen,-inf,-inf,
Amanita calyptroderma,balanced contrast photograph of Amanita calyptroderma,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma in balanced contrast conditions,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma with black and gray coloring and moderately textured texture,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma showing textured surface,-inf,-inf,
Amanita calyptroderma,mushroom with textured cap texture,-inf,-inf,
Amanita calyptroderma,textured Amanita calyptroderma specimen,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma with gray and black coloring and moderately textured texture,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma with black and gray coloring and rough texture,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma typically displaying black coloration,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma typically displaying gray coloration,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma typically displaying brown coloration,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma commonly showing highly detailed,-inf,-inf,
Amanita calyptroderma,Amanita calyptroderma commonly showing rough,-inf,-inf,
Amanita calyptroderma,a photo of coccora,-inf,-inf,
Amanita calyptroderma,a photograph of coccora,-inf,-inf,
Amanita calyptroderma,coccora mushroom,-inf,-inf,
Amanita calyptroderma,coccora fungus,-inf,-inf,
Amanita calyptroderma,photo of coccora mushroom,-inf,-inf,
Amanita calyptroderma,field guide photo of coccora,-inf,-inf,
Amanita citrina,Amanita citrina mushroom with black coloration,-inf,-inf,
Amanita citrina,mushroom displaying black tones,-inf,-inf,
Amanita citrina,black-colored Amanita citrina fungus,-inf,-inf,
Amanita citrina,photograph of black Amanita citrina,-inf,-inf,
Amanita citrina,Amanita citrina mushroom with gray coloration,-inf,-inf,
Amanita citrina,mushroom displaying gray tones,-inf,-inf,
Amanita citrina,gray-colored Amanita citrina fungus,-inf,-inf,
Amanita citrina,photograph of gray Amanita citrina,-inf,-inf,
Amanita citrina,Amanita citrina showing rough surface,-inf,-inf,
Amanita citrina,mushroom with rough cap texture,-inf,-inf,
Amanita citrina,rough Amanita citrina specimen,-inf,-inf,
Amanita citrina,Amanita citrina showing textured surface,-inf,-inf,
Amanita citrina,mushroom with textured cap texture,-inf,-inf,
Amanita citrina,textured Amanita citrina specimen,-inf,-inf,
